window_count,trajectory_fraction,replicate_count,valid_replicate_count,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,mcmc_max_r_hat,mcmc_min_n_eff,mcmc_divergence_total
16,0.6,5,3,3.4637997560676475,0.3426589702523801,0.16580608402659203,3.038188159760368,0.016666666666666666,0.041666666666666664,1.02144685972702,115.49980230278678,0
16,0.8,5,1,1.904357683869157,0.14128036741483027,0.028579560301266592,1.6654174153411723,0.0,0.025,1.0054937533482808,167.89855833139077,0
16,0.9,5,4,2.5104311695119597,0.25401875492093917,0.1712703833857605,2.0821007795740796,0.021875,0.053125,1.022052432621257,115.07521278488802,0
16,1.0,5,2,2.1460969392238805,0.20095469486719744,0.2442956437993728,1.6091191177200477,0.08125,0.10625,1.0091979506758542,190.67585999980264,0
19,0.04,5,2,7.343037547822092,0.6058508228968646,0.5029176490085896,6.069017019323616,0.05,0.06875,1.0224717373711867,125.68955922381852,0
19,0.063,5,3,6.302692613369655,0.5549200269845426,0.517233470660448,5.289737900440041,0.016666666666666666,0.05416666666666667,1.0172470764847328,156.08732669385864,0
19,0.1,5,4,5.746666358301317,0.5967998004817019,0.42707046847018004,4.645759539323121,0.0625,0.14375000000000002,1.0230033244700594,126.92603358916155,0
19,0.16,5,3,5.391815469357503,0.4330727981680964,0.2989918295968998,4.655466707982329,0.03333333333333333,0.0625,1.01261589082537,129.0516943829959,0
19,0.25,5,3,2.171450307088365,0.25202063926640733,0.15713697698288484,1.4212882368184154,0.09583333333333333,0.1708333333333333,1.0223345283726677,120.79132827552651,0
19,0.4,5,3,2.368102410427721,0.2305566612701527,0.10331925500338868,1.7425598467439238,0.041666666666666664,0.09166666666666667,1.0252179916085997,110.38568965077556,0
19,0.6,5,3,3.313815486451583,0.21964579248862562,0.1375788591958782,2.9046090248380962,0.008333333333333333,0.020833333333333332,1.0239288306779752,105.50124642038494,0
19,0.8,5,4,2.0731525328601395,0.19486155900984276,0.17572856147228721,1.5430740586803282,0.059375,0.09687499999999999,1.0236506933586953,125.87145969778024,0
19,0.9,5,2,1.6755337075751273,0.12510208648701282,0.05073042822161761,1.3623821008027819,0.0375,0.08124999999999999,1.011901288639752,177.3346254621488,0
19,1.0,5,3,2.209501121281836,0.10495291077774131,0.016002541269031466,1.9124489761756678,0.016666666666666666,0.03333333333333333,1.01247377384275,139.54490881204592,0
22,0.04,5,4,6.054926290980559,0.5268144222432897,0.3723112953625706,4.931761285641088,0.071875,0.121875,1.026471597109931,120.6691533056524,0
22,0.063,5,3,9.467162746267334,1.3141013220151552,3.215497220380451,7.965022041444281,0.05833333333333333,0.09166666666666666,1.0320657902394483,152.85451478427976,0
22,0.1,5,1,7.218370111894777,0.45511221645650207,0.20906144133254342,6.033993168994756,0.025,0.0625,1.0185694651620723,110.4425204248471,0
22,0.16,5,5,3.7501292985250068,0.2286205263064221,0.08158640410137864,2.760557088327437,0.08249999999999999,0.135,1.0174201995285994,131.07227600749292,0
22,0.25,5,4,1.9987630038938466,0.19532758805345626,0.06964273104613683,1.5126577463492907,0.08124999999999999,0.15,1.024472744281167,101.28333067145178,0
22,0.4,5,3,2.0736123998997464,0.1584060747039176,0.034245363286588,1.6942476058882947,0.041666666666666664,0.0625,1.0208526168478531,125.16642137922496,0
22,0.6,5,4,1.8735122397602912,0.14300976906069374,0.07021782447968465,1.298962730586318,0.065625,0.134375,1.0354998490361549,111.43972082480893,0
22,0.8,5,4,1.4310055153614725,0.10426846649742749,0.015984907160313207,1.1291037156169632,0.090625,0.18125000000000002,1.0137129184875981,116.0283427943817,0
22,0.9,5,5,1.5600432767312689,0.09966983718326534,0.013933261797958115,1.4472427166062636,0.017499999999999998,0.03250000000000001,1.0304538524291673,102.35639689464342,0
22,1.0,5,4,0.8120077539566515,0.09316798136122445,0.026899101204735175,0.6108351784433066,0.09375,0.37812499999999993,1.0128496928656658,104.31059002162458,0
25,0.04,1,1,5.368868135604362,0.31182738172741636,0.11669275541185639,4.19531937486184,0.05,0.0875,1.0229141135972877,119.25646267051374,0
25,0.063,1,1,5.1171272958026455,0.2497432201762131,0.07602005750120079,3.9380956065853403,0.025,0.0625,1.0276716367434098,165.6885824324313,0
25,0.1,1,1,4.474071910454243,0.1914003973401742,0.04455083161427805,3.250796367998251,0.1,0.15,1.0049673472704561,147.3304708082527,0
25,0.16,1,1,4.306776238631732,0.1478715452323816,0.026344757873437024,2.9012165612949863,0.1,0.15,1.016809205153457,145.62654857209154,0
