window_count,trajectory_fraction,replicate,result_source,window_overlap_connected,included_in_valid_only_analysis,exclusion_reason,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,max_r_hat,min_effective_sample_size,divergence_count,r_hat_above_1p05,ess_below_100,failure_reason
6,0.25,2,nuts,False,False,failed_sampler_diagnostics,19.26898936310558,3.673743138681729,13.849950417506363,16.33155655223817,0.0125,0.05,1.0158216279363537,59.055580271999126,0,False,True,failed_sampler_diagnostics
6,0.4,2,nuts,False,False,failed_sampler_diagnostics,20.264206044162794,3.0568087893042977,10.057535994577497,16.825752628714866,0.075,0.1625,1.100330140053033,15.070394295840291,0,True,True,failed_sampler_diagnostics
6,0.4,4,nuts,False,False,failed_sampler_diagnostics,19.92828987585805,3.317868187857072,11.500451357765407,16.143157206453377,0.075,0.1375,1.0132528346212832,76.54792813587548,0,False,True,failed_sampler_diagnostics
6,0.6,5,nuts,False,False,failed_sampler_diagnostics,13.236741989641176,3.566976820207722,13.19047020381181,9.37873581361726,0.2375,0.2875,1.0105829240409416,64.3343995610802,0,False,True,failed_sampler_diagnostics
6,0.8,2,nuts,False,False,failed_sampler_diagnostics,11.770643958111641,3.5334168170346048,12.763264165658004,8.790327799429564,0.1625,0.35,1.032467323699524,45.074362800269206,0,False,True,failed_sampler_diagnostics
6,0.8,3,nuts,False,False,failed_sampler_diagnostics,20.32822265145101,3.557678701589532,13.053165952641859,15.870401361530742,0.125,0.15,1.0343619984016188,79.13324959949777,0,False,True,failed_sampler_diagnostics
6,0.8,5,nuts,False,False,failed_sampler_diagnostics,18.5950269804775,1.5232453118303262,3.283817380619092,13.425493233627197,0.025,0.0625,1.0218360982645618,57.99695882717854,0,False,True,failed_sampler_diagnostics
6,0.9,2,nuts,True,False,failed_sampler_diagnostics,15.35009369030538,3.557184091231446,13.196569810734633,12.235585306286334,0.075,0.15,1.005058401705915,82.81091677117644,0,False,True,failed_sampler_diagnostics
6,0.9,3,nuts,False,False,failed_sampler_diagnostics,20.57628674594619,2.936944146526709,9.330375429880451,16.519106344041425,0.075,0.2125,1.0227654580094765,65.92027833700426,0,False,True,failed_sampler_diagnostics
6,0.9,4,nuts,False,False,failed_sampler_diagnostics,20.754284987900906,3.326407303038896,11.499120584981437,16.216557031339402,0.0875,0.175,1.0281975363369296,95.7506798524464,0,False,True,failed_sampler_diagnostics
6,0.9,5,nuts,False,False,failed_sampler_diagnostics,18.316200546906995,3.4257950337836425,12.056227947195147,14.882884615426098,0.05,0.1125,1.0333861274958354,70.1861098267452,0,False,True,failed_sampler_diagnostics
6,1.0,1,nuts,False,False,failed_sampler_diagnostics,19.80068050400886,3.108807242314895,9.955786768249927,15.505219466798351,0.1625,0.1875,1.0312088850256536,88.34400933026328,0,False,True,failed_sampler_diagnostics
6,1.0,3,nuts,False,False,failed_sampler_diagnostics,18.23767197604438,3.3552446152878472,11.725918089950799,14.636935368614122,0.075,0.125,1.0197546218615061,51.168695765080365,0,False,True,failed_sampler_diagnostics
6,1.0,4,nuts,False,False,failed_sampler_diagnostics,17.983119269952855,3.8990187452659257,15.559835182293995,13.59181205397294,0.0625,0.25,1.0087042736300627,74.11924825346202,0,False,True,failed_sampler_diagnostics
8,0.04,1,nuts,False,False,failed_sampler_diagnostics,13.230677919202828,3.6237670459503546,13.298767770328146,9.864815983066014,0.1875,0.3,1.0463904869055962,70.04969254691244,0,False,True,failed_sampler_diagnostics
