window_count,trajectory_fraction,replicate,result_source,window_overlap_connected,included_in_valid_only_analysis,exclusion_reason,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,max_r_hat,min_effective_sample_size,divergence_count
4,1.0,2,nuts,False,False,failed_sampler_diagnostics,20.13508695370745,3.1657239913918773,10.671745629316737,16.349793148457337,0.075,0.2,1.0157258512099339,81.48015945630104,0
4,1.0,3,nuts,False,False,failed_sampler_diagnostics,19.89068653727113,3.1512884213220405,10.552122326747984,15.831121040245568,0.1375,0.1625,1.0065775678045306,80.74398239160843,0
4,1.0,4,nuts,False,True,,19.940650951306985,3.4540170767499037,12.362909807372374,16.054498940933374,0.025,0.125,1.013770597124245,103.66026440247803,0
4,1.0,5,nuts,False,True,,21.918867546455658,3.8731932534932163,15.359405652077157,16.334789498227938,0.125,0.2,1.0184968586532654,171.21339473599468,0
6,0.04,1,nuts,False,True,,21.18725283770308,3.6827585716140163,13.84482792059456,16.00342397159162,0.025,0.275,1.0209751734823247,139.69961715801662,0
6,0.04,2,nuts,False,True,,20.255331275178886,3.84488826419924,15.174664912220512,16.73906871746746,0.05,0.1125,1.009268468917301,149.03049419723254,0
6,0.04,3,nuts,False,True,,20.196734441496496,3.5264221633273616,12.865926213884881,16.55580185947209,0.0125,0.1625,1.0061798147762782,272.7489373582623,0
6,0.04,4,nuts,False,True,,22.461751737365383,3.473218449081216,12.414472600186196,16.83626870848054,0.1,0.1375,1.0081525458294138,331.7106182614058,0
6,0.04,5,nuts,False,True,,20.166065834512064,4.019244198430512,16.569602382827433,16.899601295490513,0.0125,0.1,1.0033165453697381,134.88870931594704,0
6,0.063,1,nuts,False,True,,20.572698870818243,3.6840755327279298,13.870407761894734,15.739575347704,0.0375,0.2375,1.0124398019273386,133.4550000394184,0
6,0.063,2,nuts,False,True,,13.323907268433278,3.4925833310422107,12.57995659428702,10.07005700181823,0.1125,0.3,1.0212041057633394,111.6640769852174,0
6,0.063,3,nuts,False,True,,20.424259354887973,3.5615636482514406,13.051467788781007,16.221572581252566,0.0125,0.225,1.0173141313346679,157.00528877492687,0
6,0.063,4,nuts,False,False,failed_sampler_diagnostics,16.926369799396966,3.8331824889307873,14.97365657103922,12.48422612956339,0.175,0.25,1.0358264977975644,75.25507056782386,0
6,0.063,5,nuts,False,False,failed_sampler_diagnostics,17.627134160671833,3.651509602558522,13.84874290254831,13.385718049119145,0.15,0.225,1.0258999720758641,93.07864380825778,0
6,0.1,1,nuts,False,True,,20.055493871073256,3.681876356234639,13.895231474338038,15.517872595826073,0.075,0.275,1.0035701874012437,230.37849041993042,0
6,0.1,2,nuts,False,True,,21.78147779561912,4.158250449706209,17.781901243366686,17.41174636555129,0.0125,0.1125,1.0094243919608892,195.42317684650297,0
6,0.1,3,nuts,False,False,failed_sampler_diagnostics,17.70987303692731,3.672208969826383,13.862252024540044,13.180050379527922,0.1125,0.2375,1.0296098322621259,78.2487492679517,0
6,0.1,4,nuts,False,False,failed_sampler_diagnostics,17.010173184162408,3.4180629805291938,12.171021150314623,12.826638497947949,0.1375,0.2875,1.0108886484057091,96.83011253891812,0
6,0.1,5,nuts,False,False,failed_sampler_diagnostics,20.023781763162326,3.8813906591819984,15.512155746650288,16.59861430520648,0.0125,0.0625,1.0351277168789048,86.60102261824765,0
6,0.16,1,nuts,False,True,,20.72027246236988,3.6456778227301,13.555820152477713,15.996222901470343,0.0625,0.2125,1.0164636374675597,127.16578007408292,0
6,0.16,2,nuts,False,True,,18.848337034955765,3.782186305058498,14.713193583725857,14.639502366368419,0.0625,0.15,1.0156769969323813,103.41731307261466,0
6,0.16,3,nuts,False,False,failed_sampler_diagnostics,23.379175987343597,3.5089953781161953,12.765874386401862,14.890848180180182,0.1125,0.35,1.0160949411736222,96.8050286082615,0
6,0.16,4,nuts,False,True,,18.873884318197156,3.823904163283243,14.9931408072073,15.024846601337652,0.0375,0.1625,1.0045561759298545,256.12530701399703,0
6,0.16,5,nuts,False,True,,16.27431396889414,3.794343843281194,14.784587711635533,12.656706711125755,0.1,0.1625,1.024683522320848,137.3370926559492,0
6,0.25,1,nuts,False,True,,20.533347486920864,3.4903745018496517,12.494466448340109,15.870216947337122,0.125,0.2125,1.0232458011664782,100.37791192611138,0
6,0.25,2,nuts,False,False,failed_sampler_diagnostics,19.26898936310558,3.673743138681729,13.849950417506363,16.33155655223817,0.0125,0.05,1.0158216279363537,59.055580271999126,0
6,0.25,3,nuts,False,True,,20.152795215211142,3.281991725143618,11.36183724377876,15.675493770492977,0.2125,0.2125,1.0110709265382156,126.27854862690782,0
6,0.25,4,nuts,False,True,,20.820342954702333,3.7966934282695775,14.723622390568845,16.156593176540888,0.025,0.2,1.015552733841178,113.12586863691969,0
6,0.25,5,nuts,False,True,,19.484742087928208,4.010701132962376,16.49948502910545,16.585746194206685,0.0125,0.0375,1.0082585865830611,150.77404006748569,0
6,0.4,1,nuts,False,True,,20.161423493114636,3.6507842676903635,13.572598978763239,15.614064181706397,0.1375,0.2,1.0305681284371577,196.90657911378662,0
6,0.4,2,nuts,False,False,failed_sampler_diagnostics,20.264206044162794,3.0568087893042977,10.057535994577497,16.825752628714866,0.075,0.1625,1.100330140053033,15.070394295840291,0
6,0.4,3,nuts_refined_fast,False,True,,18.636472148940857,3.0285706878525813,9.719014680658734,13.629160336936684,0.2125,0.3375,1.0186718642518313,145.3721773326562,0
6,0.4,4,nuts,False,False,failed_sampler_diagnostics,19.92828987585805,3.317868187857072,11.500451357765407,16.143157206453377,0.075,0.1375,1.0132528346212832,76.54792813587548,0
6,0.4,5,nuts,False,True,,18.344034478282065,3.721195779405851,14.261320989735935,12.498642016754212,0.0875,0.2875,1.046517950943694,101.80679735569461,0
6,0.6,1,nuts,False,True,,20.000743794346857,3.3704869328473466,11.626663256510707,15.605363699513608,0.1375,0.1875,1.0404790766179755,138.57995125960718,0
6,0.6,2,nuts,False,True,,11.177884984719539,3.2419723073903994,10.980335559431404,8.621314493537332,0.1125,0.3375,1.0361015233447626,102.73250596267418,0
6,0.6,3,nuts,False,True,,18.727377332664418,3.6084132972684175,13.373794240606959,12.383729430956487,0.2,0.375,1.0195198616180372,145.9684910383346,0
6,0.6,4,nuts_refined_fast,False,True,,19.1767694869899,2.832226964776751,8.614355760787605,16.77021927216321,0.0375,0.075,1.031574635493589,101.26360327755721,0
6,0.6,5,nuts,False,False,failed_sampler_diagnostics,13.236741989641176,3.566976820207722,13.19047020381181,9.37873581361726,0.2375,0.2875,1.0105829240409416,64.3343995610802,0
6,0.8,1,nuts,False,True,,19.91947543249249,3.2716986057527597,10.95385212613466,15.556460411084753,0.15,0.1875,1.0108125875650908,112.44275582379342,0
6,0.8,2,nuts,False,False,failed_sampler_diagnostics,11.770643958111641,3.5334168170346048,12.763264165658004,8.790327799429564,0.1625,0.35,1.032467323699524,45.074362800269206,0
6,0.8,3,nuts,False,False,failed_sampler_diagnostics,20.32822265145101,3.557678701589532,13.053165952641859,15.870401361530742,0.125,0.15,1.0343619984016188,79.13324959949777,0
6,0.8,4,nuts,False,True,,15.94559832630088,3.7034130630892887,14.112868271085897,12.48889183424036,0.0625,0.1375,1.0210087856088053,123.35555746347339,0
6,0.8,5,nuts,False,False,failed_sampler_diagnostics,18.5950269804775,1.5232453118303262,3.283817380619092,13.425493233627197,0.025,0.0625,1.0218360982645618,57.99695882717854,0
6,0.9,1,nuts,False,True,,19.957321771038934,3.2362409548953686,10.75612090524248,15.567074464895958,0.1625,0.1875,1.033851632213367,143.28185926048718,0
