theta_ell,theta_sd,theta_sf,theta_w
-1.279897895374464412e+00,-1.160286412747564722e+00,1.974455684934987465e+00,3.392033377740845346e+00
-1.180675588376254526e+00,-3.431738421758285806e-01,1.936207647160373746e+00,3.575095642765676374e+00
-1.270075428139687324e+00,-1.899953220383391317e+00,1.960511105985036862e+00,3.317554604866227219e+00
-1.271399380374749200e+00,-4.831714256874554136e-01,1.980573726397049761e+00,3.400633202544982581e+00
-1.271279231620475736e+00,-1.016522575492187219e-01,1.960959423649846212e+00,3.444336460309968206e+00
-1.223978546907182885e+00,-1.516182035525429850e+00,1.934923524442056397e+00,3.397186265457651899e+00
-1.259699684029263356e+00,-1.860695848096246108e+00,1.936822813729810022e+00,3.464914787943363716e+00
-1.187531680383875132e+00,-3.471042696382189874e+00,1.872726502859809905e+00,3.535471538186032880e+00
-1.214779912515295157e+00,-3.496770257651840907e+00,1.889328702889016220e+00,3.629707981172824116e+00
-1.251078910191347981e+00,-9.824428962548648059e-03,1.911192126357597720e+00,3.471275739657939230e+00
-1.242383973404044939e+00,9.382560924246184653e-02,1.911335359832118552e+00,3.471324184463473461e+00
-1.229515552128808809e+00,5.216843702713070963e-01,1.895679705575282314e+00,3.583101094226159411e+00
-1.213917922802866700e+00,6.494694206715213580e-01,1.919579781680997188e+00,3.527121535335790981e+00
-1.196043036120515435e+00,1.618847535546366734e+00,1.967525986566489360e+00,3.578722190308206930e+00
-1.234263106222495576e+00,7.631252270885932054e-01,1.977358829499736625e+00,3.469588423391088750e+00
-1.273911670876712421e+00,1.171360450106778472e+00,1.991853683073033343e+00,3.289141446902093424e+00
-1.245501345975315699e+00,-1.214648093286086805e+00,1.918087414847509997e+00,3.428998517019591130e+00
-1.219617219541358377e+00,-2.644802809812818900e+00,1.953621034766178655e+00,3.468987914004841411e+00
-1.198788954787965766e+00,-1.099910742005550723e+00,2.001739927149084775e+00,3.544607688820980762e+00
-1.165942272623153420e+00,-4.296518516342583416e-01,1.984624072537710227e+00,3.644172276728361748e+00
-1.157609451065936490e+00,4.431331266376342670e-01,1.979634801875458816e+00,3.680955978557360009e+00
-1.132190351807346618e+00,2.185491011586561338e+00,1.970239191002685297e+00,3.768663148735844626e+00
-1.080810560204969795e+00,-9.171443942497001789e-01,1.994067563703273427e+00,3.909401604168675437e+00
-1.145746410461907061e+00,-1.890995611922711817e+00,2.023349087221363973e+00,3.692736249267064785e+00
-1.183809448901105288e+00,-3.309237528682285934e+00,2.005603226096583924e+00,3.698527840528032851e+00
-1.210185935591895134e+00,1.156511558602657086e+00,1.928845112375622728e+00,3.711184611552409418e+00
-1.198129407224425957e+00,-4.821106126582054285e-01,1.949549757097682301e+00,3.711721922823279396e+00
-1.246261195280156553e+00,-1.267699734548121349e+00,1.960788085084652854e+00,3.316404770239950839e+00
-1.242945014632062639e+00,8.775489903834130523e-01,1.953414941531448124e+00,3.265819984496190820e+00
-1.187742978417517303e+00,-2.568353609461964115e+00,1.904181912815819278e+00,3.578342762868346849e+00
-1.148655827899017101e+00,1.052312445553811537e+00,2.010857787443436351e+00,3.633633279465644073e+00
-1.165634037805645784e+00,1.636175522124949655e+00,1.991808470133488385e+00,3.517439408625639086e+00
-1.187653897021799576e+00,1.558333656702607817e+00,1.977457148881156312e+00,3.594111034518194803e+00
-1.260920196712062680e+00,-6.858147750290543021e-01,1.923919270656585301e+00,3.391036785812489907e+00
-1.290993506788916001e+00,-3.600501433641842830e-01,1.920184764868080984e+00,3.429477933726691408e+00
-1.348514813121943989e+00,5.851351051803536096e-01,1.898768230746728847e+00,3.349081191277023528e+00
-1.162607124984623042e+00,-1.299313551140312217e+00,2.038288632846068094e+00,3.748610292327847038e+00
-1.343111150056246705e+00,-3.589887775125755187e-02,1.884679281490722946e+00,3.341339227584922078e+00
-1.175196999877778259e+00,5.404771910917491873e-01,1.975153590005339410e+00,3.683264629329869422e+00
