theta_ell,theta_sd,theta_sf,theta_w
-1.215926945182090435e+00,1.368981069780202064e+00,2.213439196758873351e+00,3.925628203282904405e+00
-1.314465069840460743e+00,1.676398748175316644e+00,2.173517048054096179e+00,4.067795861725880258e+00
-1.206509847351062925e+00,-1.076971827660869518e+00,2.235303153404364362e+00,4.108489634728273110e+00
-1.313783368023060616e+00,8.355166469391054340e-01,2.240747766008629238e+00,3.823896873498724869e+00
-1.307290325507628914e+00,8.142014376972185330e-01,2.254638534391211202e+00,3.699003607502530322e+00
-1.357431599412753931e+00,1.217969521395867227e+00,2.231155625269765963e+00,3.778333159778712869e+00
-1.348519236021681333e+00,1.235940372980064872e+00,2.226611776995083947e+00,3.666991424977953606e+00
-1.308073631651219149e+00,-2.533272542695433893e-01,2.217765090280503948e+00,3.850463432053512935e+00
-1.388323815212237466e+00,-5.494694880290676431e-02,2.209077308655154503e+00,3.651947846404739018e+00
-1.334264963688308603e+00,1.688410007357858067e+00,2.191116709685652530e+00,3.686200684308863273e+00
-1.346504799975988043e+00,1.475814470432528003e+00,2.173590131874524545e+00,3.694446950594306056e+00
-1.375788545024100307e+00,-1.349835103422615923e+00,2.339861941757570563e+00,3.666521076844893923e+00
-1.312150716625054114e+00,-1.569456948763477078e+00,2.292686409624250743e+00,3.458202720483671833e+00
-1.438389142717808378e+00,-4.600870066459659680e-01,2.209849420904278272e+00,3.538586396204796092e+00
-1.362946388196391911e+00,1.171893395186118125e+00,2.278640466630255990e+00,3.654820411059140461e+00
-1.357884037100526520e+00,-9.342023524317796257e-01,2.271700809211137262e+00,3.657054991932193300e+00
-1.305773977666768504e+00,8.491262206858621875e-01,2.204670434010030711e+00,3.851790354465130850e+00
-1.339965105115252353e+00,-8.291632836468061374e-01,2.235267375714967475e+00,3.671473030490629785e+00
-1.307250505957115783e+00,1.883193740617670198e+00,2.195222902431143375e+00,4.053873177199048605e+00
-1.288265655237782026e+00,1.622379539135231585e+00,2.232293661161238507e+00,3.666727408421301515e+00
-1.283080744854597555e+00,-6.119271291097649890e-02,2.251780618838948200e+00,3.799832545052966193e+00
-1.323649631540947613e+00,-1.930525305482254206e+00,2.226002496238169037e+00,3.729176401398679896e+00
-1.249477446437580852e+00,2.593114587500266577e+00,2.288309360377215995e+00,3.891147761418079387e+00
-1.287755166936719098e+00,1.395766076105978915e+00,2.246955178992313229e+00,3.931997772754258769e+00
-1.349319283916905254e+00,-1.560261058027070380e+00,2.230753667505986471e+00,3.630860454661357650e+00
-1.293358493854501301e+00,-1.981130796490105039e+00,2.214319292702205733e+00,3.921779043407390919e+00
-1.229823336471334017e+00,5.549319483442849421e-01,2.211441514241774708e+00,4.004250810575405772e+00
-1.323928437451141527e+00,6.928222895627010880e-01,2.157865320423729472e+00,3.806962706459746659e+00
-1.275122517261877864e+00,-2.426847063256455939e-01,2.239392588750284574e+00,4.000338173864310676e+00
-1.237905271869920831e+00,-1.187260849412206776e+00,2.247183941006293040e+00,4.100254524258321709e+00
-1.289561486625441011e+00,-2.761707055834107027e+00,2.213285011197943852e+00,3.929350343204762286e+00
-1.204290316992010279e+00,-5.258073668274075629e+00,2.152778977824065354e+00,4.103303385374830192e+00
-1.438859545898245607e+00,-7.941632076496918380e-01,2.306533443009054718e+00,3.399774338879423041e+00
-1.450671365788873901e+00,-1.096822577618161709e+00,2.319358159137711262e+00,3.306508735288696155e+00
-1.410712712847936423e+00,-9.815692773254252046e-01,2.311787068226746733e+00,3.239876179133198253e+00
-1.162065191552819732e+00,-5.235644618895887170e-01,2.125101390470180540e+00,4.332006835465997518e+00
-1.185317560629416622e+00,8.792638090605826573e-01,2.249022765535892088e+00,4.166457327009793765e+00
-1.153224475057748943e+00,7.917188007211297673e-01,2.274241424911965126e+00,4.397233148352714061e+00
-1.107973732664567779e+00,2.018127542514175587e+00,2.179218454586019593e+00,4.442396368613444224e+00
-1.256449625580187579e+00,-1.739535138485512000e+00,2.209472855071401121e+00,3.942864428919018227e+00
-1.222355318127039903e+00,7.375143982785878904e-01,2.136200442794526033e+00,4.240046557915748693e+00
-1.224989343955252608e+00,1.588965972917855574e+00,2.161585040093831456e+00,4.135664528669544815e+00
-1.284682350983098242e+00,-1.148871545675100303e-01,2.239244668367168956e+00,3.909077557588215512e+00
-1.153740719863212805e+00,4.734224415303422973e-01,2.187271405007908065e+00,4.371688081968311934e+00
-1.127591021650305780e+00,8.158323619897336343e-01,2.193744229757214725e+00,4.538405596590935787e+00
-1.154775965163435503e+00,2.156972527646030535e+00,2.077244924205151388e+00,4.627328030749255028e+00
-1.096929568469630079e+00,-2.412000316883636142e+00,2.283938496699337684e+00,4.465377559265765406e+00
-1.113856627322558523e+00,-2.182527487498266971e+00,2.260886171411310652e+00,4.410935940066768701e+00
-1.417798001708400646e+00,2.041348405014602463e+00,2.195589098014959273e+00,3.455171682801221777e+00
-1.405456466899894341e+00,1.803685892464600427e+00,2.208446297717205908e+00,3.753113615952400561e+00
-1.325005506199719019e+00,1.978137929573910991e+00,2.227225303044452875e+00,3.520042025524746876e+00
-1.370856231351486043e+00,1.564743937377542027e+00,2.225533102410228281e+00,3.647170558979456967e+00
-1.335050642930037057e+00,-4.515319928381045789e-01,2.276841870538598656e+00,3.517449286105821304e+00
-1.382889294645514466e+00,5.734021876374267856e-02,2.250365537122504200e+00,3.720032263614476253e+00
-1.334967600146206079e+00,-1.438144960072198497e-01,2.237878587263538499e+00,3.670974950499475753e+00
-1.370598987305597261e+00,-1.473970793770888188e-01,2.230912743003283794e+00,3.823407656813750943e+00
-1.343205042510790204e+00,2.545250030770784821e-01,2.208249206102548268e+00,3.539039963007047263e+00
-1.418938284929446070e+00,-1.679444253342719406e+00,2.220145988116978053e+00,3.799222954566844113e+00
-1.289227825149157791e+00,-7.926531411108388436e-01,2.176699088234794299e+00,4.322759784567786312e+00
-1.259046634583585567e+00,-3.932857759550485444e-01,2.160585842016923053e+00,4.183911471071937171e+00
-1.213892146231610347e+00,-9.373946672665298130e-02,2.219885008898393686e+00,4.042623324130588891e+00
-1.256631399157983831e+00,2.832125914638763398e-01,2.165454937236870325e+00,4.110476297416234992e+00
-1.333814016297638183e+00,4.213015597332437912e-01,2.220574263594594644e+00,3.579397297121054589e+00
-1.339912416902316883e+00,1.634959523900866074e+00,2.288102921589597827e+00,3.480502096370423182e+00
-1.322886743046743696e+00,-1.355340731794449916e-01,2.191891901690047106e+00,3.780244667216751786e+00
-1.409913438094398952e+00,-9.443439541631921674e-01,2.385444258925183192e+00,3.227645257668346090e+00
-1.381181311068217843e+00,-6.305531918205290465e-01,2.372910425620132990e+00,3.243406651628998105e+00
-1.328560897185250944e+00,2.705719062467344393e-01,2.307628938710185817e+00,3.709856458628317810e+00
-1.371354562292102175e+00,-1.283833530415921853e+00,2.255029078106526974e+00,3.598343403447154643e+00
-1.324743677356514437e+00,-1.371217665417226117e+00,2.260297328013250784e+00,3.567432536264124376e+00
-1.278320913564265249e+00,-2.298080966407461290e+00,2.185019595748804999e+00,4.094529919241958638e+00
-1.276138578676409230e+00,-1.379671605804452472e+00,2.260180714171763139e+00,3.954516529641555866e+00
-1.271534034020507464e+00,2.242107593713399183e+00,2.214058136646914310e+00,3.719653593307501449e+00
-1.342469433664637446e+00,-3.741686176593772117e+00,2.281079769248660405e+00,3.635061848776574678e+00
-1.345958090271956342e+00,-3.375862576305141083e+00,2.286161583743175907e+00,3.710656275931762504e+00
-1.302716433264897056e+00,-1.744500181102675906e+00,2.183814415867523007e+00,3.855963238296964857e+00
-1.138223083384065859e+00,-1.792089831489854346e+00,2.204655908391035979e+00,4.481400834620199447e+00
-1.386012421995439059e+00,-1.529310365740720545e+00,2.218592158017973048e+00,3.505379332303815154e+00
-1.159001908787638424e+00,1.475290916398311225e+00,2.145684091742309452e+00,4.377518274320732594e+00
-1.159892115818401903e+00,2.842093754649565263e+00,2.150081865584738683e+00,4.548834452814407570e+00
-1.087740651600576092e+00,6.002561476069632196e-01,2.138847007885162466e+00,4.582694074244997751e+00
-1.107263651726577924e+00,2.661535802211268953e-01,2.198079573481383164e+00,4.445123489779314596e+00
-1.253459296920576227e+00,-8.472623931231888506e-01,2.144336868970228238e+00,3.972437686307869420e+00
-1.405912687299403219e+00,5.858133264351568226e-01,2.346156316703493339e+00,3.403505414170299836e+00
-1.516058883410980496e+00,2.217456919670152682e-01,2.272463944913408085e+00,3.260105133846872949e+00
-1.383545320898723396e+00,6.339700951649696048e-01,2.335293594100710468e+00,3.472808021034602177e+00
-1.373392822003917324e+00,-2.686616255851458579e+00,2.206031216812359474e+00,3.519618631143485832e+00
-1.401458647549905345e+00,-2.576984239976445323e+00,2.294187109543706082e+00,3.270401544119701409e+00
-1.469949624778960962e+00,1.899519753507598718e+00,2.383080253868613774e+00,2.807541601519027541e+00
-1.202733711397845129e+00,-2.699949123612359614e+00,2.132702198199623922e+00,4.300190076549045948e+00
-1.358017093831344280e+00,-2.359792009252076550e+00,2.200880291618676043e+00,3.654568215469766734e+00
-1.228955623379232698e+00,2.874668538000879625e-01,2.250007871199138698e+00,4.041166937294829786e+00
-1.183113455359768196e+00,2.394142254714831664e-02,2.259443284589790490e+00,4.159295395354771330e+00
-1.275334921957912648e+00,-8.317283773193080432e-01,2.220619363925726564e+00,4.016209344223526934e+00
-1.259935565527101842e+00,-1.255695189154966807e+00,2.201180272984282649e+00,4.058357305491229639e+00
-1.316658972186787846e+00,-1.572823915779909321e+00,2.176855851023991040e+00,3.830089803540582594e+00
-1.249409069946146644e+00,-1.400317051024012605e-01,2.211064443509053401e+00,3.976223028324636033e+00
-1.415525452521575911e+00,4.110224343614766740e-01,2.237922783726687292e+00,3.481233839388626183e+00
-1.283772806988503712e+00,-1.229838609826415352e+00,2.227581588043763716e+00,3.933484294146191829e+00
-1.248927759832659579e+00,1.534720543594384479e+00,2.184236568972342862e+00,4.112439275222085300e+00
-1.262863975043134968e+00,-1.082645232953736159e-01,2.165663729618226618e+00,4.006663353299579455e+00
-1.259208994547939664e+00,-7.171738358886429188e-01,2.238795170267998458e+00,4.105541878154758351e+00
-1.225564175064366434e+00,-4.532373458095197982e-01,2.237516519883077759e+00,3.939021774981568580e+00
-1.213198443819933692e+00,-4.764662721373721932e-01,2.240108785658033952e+00,3.915583537867615149e+00
-1.419508566803842964e+00,-2.825065837800702084e+00,2.210001834467365533e+00,3.610031483929857288e+00
-1.371895458424801761e+00,3.349001825166897373e-02,2.342391612638095477e+00,3.381650986773655720e+00
-1.438878979287972149e+00,9.125790599263445824e-01,2.302818493250400333e+00,3.319065228943416379e+00
-1.302627061072161307e+00,2.869387285372822505e-01,2.229204740050334088e+00,4.065768613734025649e+00
-1.342438675536641535e+00,-2.935287365573713725e+00,2.255439825182819380e+00,3.737566468928373187e+00
-1.245742136205839623e+00,4.904553763554841961e-01,2.210448041753701798e+00,4.035325150763604540e+00
-1.249058371997577188e+00,8.463483987270796760e-01,2.212810932909143879e+00,3.839884033699351829e+00
-1.260845998469660501e+00,9.208522039866188225e-01,2.207529258640898551e+00,3.823039768281237816e+00
-1.289516997585767877e+00,1.356237351137205005e-01,2.192364985216804563e+00,4.028126273620943998e+00
-1.310054211695104387e+00,4.921031398768028198e-01,2.229613320122951325e+00,3.694841410756432243e+00
-1.340447109177169693e+00,5.147307579936334365e-01,2.221302415156701571e+00,3.802575678747034171e+00
-1.275295679192976372e+00,1.041742030144323650e+00,2.194232766890289454e+00,3.760334910274194087e+00
-1.286718849007822296e+00,-4.758475735933931361e-02,2.173686914816997273e+00,4.162291012899844489e+00
-1.372000983438777633e+00,-4.866186633622393565e-01,2.167664291768889306e+00,3.492736462966226085e+00
-1.397866183959285191e+00,1.581401801743396174e+00,2.228808741697101858e+00,3.346674668889996873e+00
-1.221125410301462821e+00,-5.932640464225704680e-01,2.247412425940547465e+00,4.004758875899988801e+00
-1.226885609617223816e+00,-8.572482524110316415e-01,2.240820453741473539e+00,4.153042590157107306e+00
-1.221646259556136593e+00,-1.881356497561926577e+00,2.168768823889533515e+00,4.232817683692431387e+00
-1.295850269020868195e+00,-1.319333702316519918e+00,2.246741798733186801e+00,3.872226972200559114e+00
-1.268017926082915414e+00,-1.561225862091943917e+00,2.244977579745018659e+00,3.596951422385792352e+00
-1.291282011181607459e+00,-2.222816922865269884e+00,2.271258502569101889e+00,3.881835976225233686e+00
-1.289994925695496786e+00,2.815668779215737549e-01,2.208176288904254214e+00,4.009750868981569738e+00
