# phi,psi,free_energy_kJ_per_mol
1.832595714594045688e+00,-3.054326190990076739e+00,4.891478091485831214e+01
2.007128639793478886e+00,-3.054326190990076739e+00,5.738431151781298922e+01
2.181661564992912083e+00,-3.054326190990076739e+00,6.176010617462377184e+01
2.356194490192344837e+00,-3.054326190990076739e+00,6.104422161686147774e+01
2.530727415391777591e+00,-3.054326190990076739e+00,5.529995158664910093e+01
2.705260340591210344e+00,-3.054326190990076739e+00,4.638599007805756003e+01
2.879793265790643542e+00,-3.054326190990076739e+00,3.540678777630293439e+01
3.054326190990076739e+00,-3.054326190990076739e+00,2.507834071833287481e+01
-3.054326190990076739e+00,-2.879793265790643986e+00,2.027319974419299342e+01
-2.879793265790643986e+00,-2.879793265790643986e+00,1.374807860619615241e+01
-2.705260340591210788e+00,-2.879793265790643986e+00,1.002323736125831211e+01
-2.530727415391777591e+00,-2.879793265790643986e+00,8.519551074041917360e+00
-2.356194490192344837e+00,-2.879793265790643986e+00,8.657429039245455371e+00
-2.181661564992912083e+00,-2.879793265790643986e+00,9.535706581635400525e+00
-2.007128639793479330e+00,-2.879793265790643986e+00,9.962535547904153077e+00
-1.832595714594046132e+00,-2.879793265790643986e+00,9.867933932697919630e+00
-1.658062789394612935e+00,-2.879793265790643986e+00,9.650133911981129131e+00
-1.483529864195180181e+00,-2.879793265790643986e+00,9.643891900795551919e+00
-1.308996938995746984e+00,-2.879793265790643986e+00,1.099070035358135122e+01
-1.134464013796314230e+00,-2.879793265790643986e+00,1.467590871094425964e+01
-9.599310885968812546e-01,-2.879793265790643986e+00,2.150511607272217418e+01
-7.853981633974482790e-01,-2.879793265790643986e+00,3.097142963664226301e+01
-6.108652381980153034e-01,-2.879793265790643986e+00,4.220713534811547163e+01
-4.363323129985823279e-01,-2.879793265790643986e+00,5.317558831886938719e+01
-2.617993877991495744e-01,-2.879793265790643986e+00,6.287321255403094256e+01
-8.726646259971659880e-02,-2.879793265790643986e+00,6.372110922782778175e+01
8.726646259971637676e-02,-2.879793265790643986e+00,5.595818373900011977e+01
2.617993877991493523e-01,-2.879793265790643986e+00,4.489566525085113824e+01
4.363323129985823279e-01,-2.879793265790643986e+00,3.419058293170191121e+01
6.108652381980153034e-01,-2.879793265790643986e+00,2.382261887861134042e+01
7.853981633974482790e-01,-2.879793265790643986e+00,1.662836418266757832e+01
9.599310885968810325e-01,-2.879793265790643986e+00,1.393486588150540229e+01
1.134464013796313786e+00,-2.879793265790643986e+00,1.608912048528871708e+01
1.308996938995746984e+00,-2.879793265790643986e+00,2.231494655840430141e+01
1.483529864195180181e+00,-2.879793265790643986e+00,3.127310415143555744e+01
1.658062789394612935e+00,-2.879793265790643986e+00,4.153490384858586992e+01
1.832595714594045688e+00,-2.879793265790643986e+00,5.140138558833031368e+01
2.007128639793478886e+00,-2.879793265790643986e+00,5.992619016432873025e+01
2.181661564992912083e+00,-2.879793265790643986e+00,6.496146931023560001e+01
2.356194490192344837e+00,-2.879793265790643986e+00,6.479316971632620437e+01
2.530727415391777591e+00,-2.879793265790643986e+00,5.940618897160594258e+01
2.705260340591210344e+00,-2.879793265790643986e+00,5.064223376320752834e+01
2.879793265790643542e+00,-2.879793265790643986e+00,3.995307062754044125e+01
3.054326190990076739e+00,-2.879793265790643986e+00,2.931620204371071736e+01
-3.054326190990076739e+00,-2.705260340591210788e+00,2.440581707572022907e+01
-2.879793265790643986e+00,-2.705260340591210788e+00,1.783141542902421861e+01
-2.705260340591210788e+00,-2.705260340591210788e+00,1.380138402402875109e+01
-2.530727415391777591e+00,-2.705260340591210788e+00,1.211679421788316979e+01
-2.356194490192344837e+00,-2.705260340591210788e+00,1.183136757396891170e+01
-2.181661564992912083e+00,-2.705260340591210788e+00,1.279223256867559932e+01
-2.007128639793479330e+00,-2.705260340591210788e+00,1.331413461586106983e+01
-1.832595714594046132e+00,-2.705260340591210788e+00,1.306554872099362186e+01
-1.658062789394612935e+00,-2.705260340591210788e+00,1.285641955062915898e+01
-1.483529864195180181e+00,-2.705260340591210788e+00,1.334798811403578789e+01
-1.308996938995746984e+00,-2.705260340591210788e+00,1.526327987694151744e+01
-1.134464013796314230e+00,-2.705260340591210788e+00,2.004420277951384932e+01
-9.599310885968812546e-01,-2.705260340591210788e+00,2.759641685923020660e+01
-7.853981633974482790e-01,-2.705260340591210788e+00,3.766287737549757253e+01
-6.108652381980153034e-01,-2.705260340591210788e+00,4.888337118824713912e+01
-4.363323129985823279e-01,-2.705260340591210788e+00,5.811442037495412194e+01
-2.617993877991495744e-01,-2.705260340591210788e+00,6.567582135338224703e+01
-8.726646259971659880e-02,-2.705260340591210788e+00,6.204497125708604699e+01
8.726646259971637676e-02,-2.705260340591210788e+00,5.347475436850655228e+01
2.617993877991493523e-01,-2.705260340591210788e+00,4.245433988482245979e+01
4.363323129985823279e-01,-2.705260340591210788e+00,3.165077973192752836e+01
6.108652381980153034e-01,-2.705260340591210788e+00,2.260311910808877656e+01
7.853981633974482790e-01,-2.705260340591210788e+00,1.648651237888636700e+01
9.599310885968810325e-01,-2.705260340591210788e+00,1.470976421515971566e+01
1.134464013796313786e+00,-2.705260340591210788e+00,1.753260790351887621e+01
1.308996938995746984e+00,-2.705260340591210788e+00,2.411155066956088433e+01
1.483529864195180181e+00,-2.705260340591210788e+00,3.329570297599468631e+01
1.658062789394612935e+00,-2.705260340591210788e+00,4.364078569050701617e+01
1.832595714594045688e+00,-2.705260340591210788e+00,5.345881456278277710e+01
2.007128639793478886e+00,-2.705260340591210788e+00,6.219323123010242682e+01
2.181661564992912083e+00,-2.705260340591210788e+00,6.726541392397614061e+01
2.356194490192344837e+00,-2.705260340591210788e+00,6.760425388540811298e+01
2.530727415391777591e+00,-2.705260340591210788e+00,6.268388051010983020e+01
2.705260340591210344e+00,-2.705260340591210788e+00,5.464181351439913215e+01
2.879793265790643542e+00,-2.705260340591210788e+00,4.423189001842234802e+01
3.054326190990076739e+00,-2.705260340591210788e+00,3.374860747007703310e+01
-3.054326190990076739e+00,-2.530727415391777591e+00,2.857238836381058178e+01
-2.879793265790643986e+00,-2.530727415391777591e+00,2.171411265047795780e+01
-2.705260340591210788e+00,-2.530727415391777591e+00,1.754143668113048449e+01
-2.530727415391777591e+00,-2.530727415391777591e+00,1.569496480860533261e+01
-2.356194490192344837e+00,-2.530727415391777591e+00,1.524726566531221295e+01
-2.181661564992912083e+00,-2.530727415391777591e+00,1.594482775108095929e+01
-2.007128639793479330e+00,-2.530727415391777591e+00,1.647293131492477869e+01
-1.832595714594046132e+00,-2.530727415391777591e+00,1.612909178879032623e+01
-1.658062789394612935e+00,-2.530727415391777591e+00,1.627296884292545442e+01
-1.483529864195180181e+00,-2.530727415391777591e+00,1.692466180078325522e+01
-1.308996938995746984e+00,-2.530727415391777591e+00,1.937846504262208214e+01
-1.134464013796314230e+00,-2.530727415391777591e+00,2.448223092533610412e+01
-9.599310885968812546e-01,-2.530727415391777591e+00,3.255588306027705414e+01
-7.853981633974482790e-01,-2.530727415391777591e+00,4.260825042150172237e+01
-6.108652381980153034e-01,-2.530727415391777591e+00,5.296313280691076386e+01
-4.363323129985823279e-01,-2.530727415391777591e+00,6.073902801126970985e+01
-2.617993877991495744e-01,-2.530727415391777591e+00,6.245106938039766931e+01
-8.726646259971659880e-02,-2.530727415391777591e+00,5.748553426090825269e+01
8.726646259971637676e-02,-2.530727415391777591e+00,4.926565368786715737e+01
