analysis,index,fraction,window_index,window_center_nm,raw_segment_frames,ar1_tau_frames,thinning_stride,thinned_frames,histogrammed_frames
block,4,0.8,16,3.7,76000,7.338319712229724,8,9500,9500
block,4,0.8,17,3.85,76000,7.332418329495029,8,9500,9500
block,4,0.8,18,4.0,76000,7.371665931640094,8,9500,9500
block,4,0.8,19,4.2,76000,7.3532827189328245,8,9500,9500
block,4,0.8,20,4.4,76000,7.352405375106815,8,9500,9500
block,4,0.8,21,4.6,76000,7.361150533813941,8,9500,9500
block,4,0.8,22,4.8,76000,7.353805725834757,8,9500,9500
block,4,0.8,23,5.0,76000,7.348068176875548,8,9500,9500
block,4,0.8,24,5.2,76000,7.349063905968541,8,9500,9416
block,4,0.8,25,5.4,76000,7.3511026292930435,8,9500,6188
block,5,1.0,1,1.45,76001,7.180294612594887,8,9501,8938
block,5,1.0,2,1.6,76001,7.139077226784964,8,9501,9501
block,5,1.0,3,1.75,76001,7.17770245838469,8,9501,9501
block,5,1.0,4,1.9,76001,7.15586261656032,8,9501,9501
block,5,1.0,5,2.05,76001,7.169617855553771,8,9501,9501
block,5,1.0,6,2.2,76001,7.285126435785728,8,9501,9501
block,5,1.0,7,2.35,76001,7.246169303018368,8,9501,9501
block,5,1.0,8,2.5,76001,7.145097767237963,8,9501,9501
block,5,1.0,9,2.65,76001,7.1338165205101465,8,9501,9501
block,5,1.0,10,2.8,76001,7.166425882875842,8,9501,9501
block,5,1.0,11,2.95,76001,7.169330726648436,8,9501,9501
block,5,1.0,12,3.1,76001,7.253711160715692,8,9501,9501
block,5,1.0,13,3.25,76001,7.269403191843533,8,9501,9501
block,5,1.0,14,3.4,76001,7.2745188593634245,8,9501,9501
block,5,1.0,15,3.55,76001,7.270282341216608,8,9501,9501
block,5,1.0,16,3.7,76001,7.342529832908042,8,9501,9501
block,5,1.0,17,3.85,76001,7.331903252478682,8,9501,9501
block,5,1.0,18,4.0,76001,7.3670053395322235,8,9501,9501
block,5,1.0,19,4.2,76001,7.365862379432337,8,9501,9501
block,5,1.0,20,4.4,76001,7.356797903203013,8,9501,9501
block,5,1.0,21,4.6,76001,7.34636777516879,8,9501,9501
block,5,1.0,22,4.8,76001,7.355331977544121,8,9501,9501
