method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,profile_points
fixed,Fixed GP,22,0.8,8.412342810660292,1.0,1.0,100
fixed,Fixed GP,22,0.9,7.469995962576534,1.0,1.0,100
fixed,Fixed GP,22,1.0,6.836523485761907,1.0,1.0,100
fixed,Fixed GP,25,0.04,5.12823323287206,0.54,1.0,100
fixed,Fixed GP,25,0.063,6.252499805665121,0.52,0.98,100
fixed,Fixed GP,25,0.1,4.855429293986201,0.54,1.0,100
fixed,Fixed GP,25,0.16,3.2140129193544253,0.87,1.0,100
fixed,Fixed GP,25,0.25,2.5811282937067217,1.0,1.0,100
fixed,Fixed GP,25,0.4,2.366026065315018,1.0,1.0,100
fixed,Fixed GP,25,0.6,2.108260638438169,1.0,1.0,100
fixed,Fixed GP,25,0.8,2.3996531449274388,1.0,1.0,100
fixed,Fixed GP,25,0.9,2.0966181224447205,1.0,1.0,100
fixed,Fixed GP,25,1.0,2.134911348616225,1.0,1.0,100
loo_map,Optimized GP (LOO),3,0.04,16.54253106064238,0.42,0.49,100
loo_map,Optimized GP (LOO),3,0.063,13.530476475118421,0.45,0.65,100
loo_map,Optimized GP (LOO),3,0.1,10.256911940173664,0.43,0.76,100
loo_map,Optimized GP (LOO),3,0.16,14.430903550347898,0.32,0.5,100
loo_map,Optimized GP (LOO),3,0.25,13.777229469545784,0.4,0.58,100
loo_map,Optimized GP (LOO),3,0.4,16.432187501457303,0.4,0.49,100
loo_map,Optimized GP (LOO),3,0.6,15.845298695448182,0.32,0.46,100
loo_map,Optimized GP (LOO),3,0.8,13.399186429678139,0.32,0.59,100
loo_map,Optimized GP (LOO),3,0.9,10.409761150340486,0.57,0.75,100
loo_map,Optimized GP (LOO),3,1.0,8.549990783695025,0.55,0.72,100
loo_map,Optimized GP (LOO),4,0.04,13.497860491856539,0.45,0.67,100
loo_map,Optimized GP (LOO),4,0.063,15.742949345422401,0.43,0.58,100
loo_map,Optimized GP (LOO),4,0.1,13.747952303974795,0.31,0.58,100
loo_map,Optimized GP (LOO),4,0.16,10.038487980264273,0.4,0.94,100
loo_map,Optimized GP (LOO),4,0.25,13.910015482330344,0.26,0.59,100
loo_map,Optimized GP (LOO),4,0.4,15.739027001328227,0.35,0.51,100
loo_map,Optimized GP (LOO),4,0.6,12.398211236963926,0.48,0.56,100
loo_map,Optimized GP (LOO),4,0.8,13.780256963716727,0.41,0.59,100
loo_map,Optimized GP (LOO),4,0.9,15.719226353319819,0.45,0.51,100
loo_map,Optimized GP (LOO),4,1.0,13.069167567161111,0.48,0.57,100
loo_map,Optimized GP (LOO),6,0.04,12.184452397458042,0.29,0.63,100
loo_map,Optimized GP (LOO),6,0.063,8.39292132517428,0.55,0.87,100
loo_map,Optimized GP (LOO),6,0.1,8.656682511059634,0.4,0.97,100
loo_map,Optimized GP (LOO),6,0.16,7.7830456145898355,0.46,0.85,100
loo_map,Optimized GP (LOO),6,0.25,8.845593793508034,0.58,0.82,100
loo_map,Optimized GP (LOO),6,0.4,8.605537478218007,0.55,0.8,100
loo_map,Optimized GP (LOO),6,0.6,5.34285200334851,0.92,1.0,100
loo_map,Optimized GP (LOO),6,0.8,8.56951040244612,0.8,1.0,100
loo_map,Optimized GP (LOO),6,0.9,11.288513883528713,0.53,0.85,100
loo_map,Optimized GP (LOO),6,1.0,12.833557251665527,0.51,0.67,100
loo_map,Optimized GP (LOO),8,0.04,10.443855447304626,0.37,0.69,100
loo_map,Optimized GP (LOO),8,0.063,4.456915720100067,1.0,1.0,100
loo_map,Optimized GP (LOO),8,0.1,6.688578325121094,0.59,1.0,100
loo_map,Optimized GP (LOO),8,0.16,3.7137703805241604,1.0,1.0,100
loo_map,Optimized GP (LOO),8,0.25,7.902383371318711,0.56,0.71,100
loo_map,Optimized GP (LOO),8,0.4,6.800910312126006,0.62,0.7,100
loo_map,Optimized GP (LOO),8,0.6,8.566728830096695,0.6,0.7,100
loo_map,Optimized GP (LOO),8,0.8,6.774858590814927,0.66,0.75,100
loo_map,Optimized GP (LOO),8,0.9,3.9852533391806833,0.75,0.96,100
loo_map,Optimized GP (LOO),8,1.0,4.75143210806687,0.68,1.0,100
