method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol
fixed,Fixed GP,25,0.04,5.12823323287206
fixed,Fixed GP,25,0.063,6.252499805665121
fixed,Fixed GP,25,0.1,4.855429293986201
fixed,Fixed GP,25,0.16,3.2140129193544253
fixed,Fixed GP,25,0.25,2.5811282937067217
fixed,Fixed GP,25,0.4,2.366026065315018
fixed,Fixed GP,25,0.6,2.108260638438169
fixed,Fixed GP,25,0.8,2.3996531449274388
fixed,Fixed GP,25,0.9,2.0966181224447205
fixed,Fixed GP,25,1.0,2.134911348616225
loo_map,Optimized GP (LOO),3,0.04,16.54253106064238
loo_map,Optimized GP (LOO),3,0.063,13.530476475118421
loo_map,Optimized GP (LOO),3,0.1,10.256911940173664
loo_map,Optimized GP (LOO),3,0.16,14.430903550347898
loo_map,Optimized GP (LOO),3,0.25,13.777229469545784
loo_map,Optimized GP (LOO),3,0.4,16.432187501457303
loo_map,Optimized GP (LOO),3,0.6,15.845298695448182
loo_map,Optimized GP (LOO),3,0.8,13.399186429678139
loo_map,Optimized GP (LOO),3,0.9,10.409761150340486
loo_map,Optimized GP (LOO),3,1.0,8.549990783695025
loo_map,Optimized GP (LOO),4,0.04,13.497860491856539
loo_map,Optimized GP (LOO),4,0.063,15.742949345422401
loo_map,Optimized GP (LOO),4,0.1,13.747952303974795
loo_map,Optimized GP (LOO),4,0.16,10.038487980264273
loo_map,Optimized GP (LOO),4,0.25,13.910015482330344
loo_map,Optimized GP (LOO),4,0.4,15.739027001328227
loo_map,Optimized GP (LOO),4,0.6,12.398211236963926
loo_map,Optimized GP (LOO),4,0.8,13.780256963716727
loo_map,Optimized GP (LOO),4,0.9,15.719226353319819
loo_map,Optimized GP (LOO),4,1.0,13.069167567161111
loo_map,Optimized GP (LOO),6,0.04,12.184452397458042
loo_map,Optimized GP (LOO),6,0.063,8.39292132517428
loo_map,Optimized GP (LOO),6,0.1,8.656682511059634
loo_map,Optimized GP (LOO),6,0.16,7.7830456145898355
loo_map,Optimized GP (LOO),6,0.25,8.845593793508034
loo_map,Optimized GP (LOO),6,0.4,8.605537478218007
loo_map,Optimized GP (LOO),6,0.6,5.34285200334851
loo_map,Optimized GP (LOO),6,0.8,8.56951040244612
loo_map,Optimized GP (LOO),6,0.9,11.288513883528713
