coordinate_nm,mean_kj_mol,std_kj_mol,lower_95_kj_mol,upper_95_kj_mol
2.950000000000000178e+00,-3.384865521836604074e+01,6.298469129536821143e-02,-3.397549368813087511e+01,-3.372675416235936297e+01
3.000000000000000000e+00,-3.214254273507972925e+01,6.288925448422746922e-02,-3.226650527550570047e+01,-3.202289229166784423e+01
3.049999999999999822e+00,-3.039239454637514370e+01,6.095721683588194856e-02,-3.051394122457064384e+01,-3.027408348170374452e+01
3.100000000000000089e+00,-2.835283857721148948e+01,5.928414278429913059e-02,-2.847380585786979168e+01,-2.823932552322927592e+01
3.149999999999999911e+00,-2.658898895280698582e+01,5.730951812053676486e-02,-2.670422987722449193e+01,-2.647796355460777207e+01
3.200000000000000178e+00,-2.476361640791168028e+01,5.652618202867423780e-02,-2.487564531481160657e+01,-2.465503478151023131e+01
3.250000000000000000e+00,-2.296214373202674253e+01,5.445123402240137356e-02,-2.306740227005713706e+01,-2.285456622354378098e+01
3.299999999999999822e+00,-2.158549271420923787e+01,5.194799303010168290e-02,-2.168686491946300876e+01,-2.148327354839907954e+01
3.350000000000000089e+00,-2.047217719466956609e+01,5.054966885525292303e-02,-2.057026671458820388e+01,-2.037699433408279148e+01
3.399999999999999911e+00,-1.912328091181218070e+01,4.821060618762971345e-02,-1.921811112749341888e+01,-1.903025022065141769e+01
3.450000000000000178e+00,-1.776545987114655745e+01,4.659633299720544741e-02,-1.785624084430621039e+01,-1.767422785603524105e+01
3.500000000000000000e+00,-1.657056026277137306e+01,4.584071308721639204e-02,-1.665857468900632909e+01,-1.648252670090587557e+01
3.549999999999999822e+00,-1.528232655906387727e+01,4.583225782342647409e-02,-1.537116437623511267e+01,-1.519234831942805464e+01
3.600000000000000089e+00,-1.376384644986105421e+01,4.513660571380190972e-02,-1.384862079653545486e+01,-1.367513084677449342e+01
3.649999999999999911e+00,-1.242669218976504375e+01,4.398994598200496597e-02,-1.251222388930284701e+01,-1.234226447453173314e+01
3.700000000000000178e+00,-1.109613982215388006e+01,4.350526571609772408e-02,-1.118096471377353751e+01,-1.101296855560481980e+01
3.750000000000000000e+00,-9.897461166609394567e+00,4.354138834858126833e-02,-9.981294796073898468e+00,-9.812669763748687046e+00
3.799999999999999822e+00,-8.706713205244328790e+00,4.397018305802154886e-02,-8.791218234527246267e+00,-8.620735611265752496e+00
3.850000000000000089e+00,-7.218848803275672132e+00,4.452713794576905471e-02,-7.304379923146826492e+00,-7.132303389260631121e+00
3.899999999999999911e+00,-5.566178509793576090e+00,4.675520740398120961e-02,-5.657016307837286817e+00,-5.477147693347737878e+00
3.950000000000000178e+00,-4.457720157005470085e+00,4.915291779709366621e-02,-4.552288746393696961e+00,-4.362110007975831039e+00
4.000000000000000000e+00,-3.950721878468610004e+00,4.796052788712717313e-02,-4.044925655217304516e+00,-3.858764928418682238e+00
4.049999999999999822e+00,-3.955150860591443607e+00,4.563125008681029326e-02,-4.045417681446556557e+00,-3.865933053903870320e+00
4.099999999999999645e+00,-3.808322046306690467e+00,4.428554182422060614e-02,-3.893206029828854664e+00,-3.722538264079096937e+00
4.150000000000000355e+00,-3.679496003235662727e+00,4.275366918712496939e-02,-3.762727594602588432e+00,-3.598289033181035990e+00
4.200000000000000178e+00,-3.441366886051874463e+00,4.160904641238564322e-02,-3.522790970652868836e+00,-3.359949880718017923e+00
4.250000000000000000e+00,-3.042418366227131798e+00,4.092307656338457778e-02,-3.122660283845470008e+00,-2.960899986088652014e+00
4.299999999999999822e+00,-2.869952055141548719e+00,3.974703405136817413e-02,-2.947069676331998789e+00,-2.792756908395138460e+00
4.349999999999999645e+00,-2.635234626220045673e+00,3.892713669704923884e-02,-2.712899390469465821e+00,-2.559204634691766511e+00
4.400000000000000355e+00,-2.419302500723992111e+00,3.764544110651898978e-02,-2.492469876501944182e+00,-2.346466482426727396e+00
4.450000000000000178e+00,-2.125468877082908215e+00,3.735546492216984538e-02,-2.199589279096040517e+00,-2.052248314779243632e+00
4.500000000000000000e+00,-2.028952766755701909e+00,3.602726527704457060e-02,-2.099299906281801409e+00,-1.960809127741521829e+00
4.549999999999999822e+00,-1.738039005127273828e+00,3.659549829724643988e-02,-1.809710627751150325e+00,-1.668317284245581789e+00
4.599999999999999645e+00,-1.385640863940634793e+00,3.618122766624434772e-02,-1.454405799670905219e+00,-1.314211979566976440e+00
4.650000000000000355e+00,-1.274371038545017987e+00,3.432367684555329146e-02,-1.342452521083634887e+00,-1.207983611357532627e+00
4.700000000000000178e+00,-1.116573532704779881e+00,3.451673791169870137e-02,-1.183321682302655553e+00,-1.050412443517691363e+00
4.750000000000000000e+00,-9.986982189474564731e-01,3.306066372673920062e-02,-1.064878902072483147e+00,-9.350761211380234084e-01
4.799999999999999822e+00,-7.578958122474438452e-01,3.293446193797708310e-02,-8.225180166827963379e-01,-6.937958926270116899e-01
4.849999999999999645e+00,-5.461624793963005819e-01,3.228401541064957608e-02,-6.076793307753159956e-01,-4.820349692751784709e-01
4.900000000000000355e+00,-4.885181837266420746e-01,3.085296409817483987e-02,-5.483624615342558295e-01,-4.298035067308997870e-01
4.950000000000000178e+00,-4.133383097268119588e-01,3.085509928616068931e-02,-4.749404533470313328e-01,-3.529110488094427400e-01
5.000000000000000000e+00,-3.212512747284800296e-01,2.930263717753637739e-02,-3.783649624475499129e-01,-2.643708215907283332e-01
5.049999999999999822e+00,-1.453837605356091411e-01,2.998127045508413788e-02,-2.037651330868915645e-01,-8.707453963070965752e-02
5.099999999999999645e+00,-1.602794550793877615e-02,2.086413001425811015e-02,-7.040333432656220580e-02,0.000000000000000000e+00
5.150000000000000355e+00,-1.040089679807825081e-02,1.706503329740196098e-02,-5.835853251877160669e-02,0.000000000000000000e+00
5.200000000000000178e+00,-1.405557652178880679e-01,2.978441185216842979e-02,-1.966745270540290191e-01,-8.323665482796788195e-02
5.250000000000000000e+00,-1.740047408711638544e-01,2.966690589887606075e-02,-2.324710915759728991e-01,-1.169002335861704517e-01
5.299999999999999822e+00,-2.765625688867595633e-01,2.990474203837720571e-02,-3.361987261583394004e-01,-2.177213176385757731e-01
